Points_m_XYZ:0	Points_m_XYZ:1	Points_m_XYZ:2	X	Y	Z	intensity	laser_id	azimuth	distance_m	adjustedtime	timestamp	vertical_angle	dual_distance	dual_intensity	dual_return_matching
0.925683498	17.84183311	-2.1936481	0.925683501	17.84183336	-2.193648181	8	8	297	18	61647079	61647079	-7	0	0	-1
1.537443876	29.43447113	4.668317318	1.537443878	29.43447033	4.668317306	43	9	299	29.842	61647081	61647081	9	0	0	-1
1.132202744	21.6037159	-1.892674088	1.132202795	21.60371629	-1.89267411	4	10	300	21.716	61647083	61647083	-5	1	1	127
1.170863271	22.19317436	4.319915771	1.170863306	22.1931748	4.319915655	15	11	302	22.64	61647086	61647086	11	0	0	-1
0.460755825	8.675850868	-0.455322832	0.460755813	8.675850691	-0.455322819	20	12	304	8.7	61647088	61647088	-3	0	0	-1
1.157255173	21.71907997	5.021357536	1.157255128	21.71907949	5.021357435	52	13	305	22.322	61647090	61647090	13	0	0	-1
1.149031758	21.28505898	5.7116189	1.149031817	21.28505959	5.711618687	33	15	309	22.068	61647095	61647095	15	0	0	-1
0.498977393	8.814450264	-2.36560607	0.498977389	8.814450038	-2.365606072	44	0	324	9.14	61647115	61647115	-15	0	0	-1
0.501881301	8.784235954	-2.031307936	0.501881296	8.784236045	-2.031308021	30	2	327	9.03	61647120	61647120	-13	0	0	-1
1.226162672	21.39548302	1.123129606	1.226162692	21.39548328	1.123129621	9	3	328	21.46	61647122	61647122	3	0	0	-1
0.910205305	15.78583145	-3.073551416	0.910205311	15.78583139	-3.073551298	1	4	330	16.108	61647125	61647125	-11	1	-1	129
1.259188533	21.70645332	1.902261257	1.259188558	21.70645347	1.902261241	29	5	332	21.826	61647127	61647127	5	0	0	-1
1.041868329	17.90613556	-2.840849876	1.041868353	17.90613532	-2.840849885	6	6	333	18.16	61647129	61647129	-9	0	0	-1
1.051036239	17.84880829	-2.195354462	1.051036262	17.84880775	-2.195354352	6	8	337	18.014	61647134	61647134	-7	0	0	-1
1.287743568	21.80374527	3.459391832	1.287743525	21.80374558	3.45939176	36	9	338	22.114	61647136	61647136	9	0	0	-1
1.282641888	21.58931923	-1.892151117	1.282641887	21.58931897	-1.892151175	6	10	340	21.71	61647139	61647139	-5	0	0	-1
1.302581787	21.79642868	4.244355202	1.30258182	21.7964278	4.244355293	66	11	342	22.244	61647141	61647141	11	0	0	-1
0.513944089	8.57482338	-0.450193882	0.513944115	8.574823083	-0.450193896	23	12	343	8.602	61647143	61647143	-3	0	0	-1
1.30955708	21.72214317	5.024056911	1.309557095	21.72214237	5.024056848	55	13	345	22.334	61647145	61647145	13	0	0	-1
1.626809716	26.82862854	-0.46915558	1.626809678	26.8286285	-0.46915559	15	14	347	26.882	61647148	61647148	-1	1	1	130
1.294238687	21.28252983	5.713171482	1.294238675	21.28253022	5.713171602	33	15	348	22.074	61647150	61647150	15	0	0	-1
0.437427759	8.346618652	-0.731236696	0.43742777	8.346619068	-0.731236682	4	10	300	8.39	61647083	61647083	-5	-1	-1	108
0.447237968	7.876110554	0.137699485	0.447237967	7.876110528	0.137699487	1	1	325	7.89	61647118	61647118	1	0	0	-1
0.505619407	8.769035339	-1.707358837	0.505619389	8.769035218	-1.707358891	13	4	330	8.948	61647125	61647125	-11	-1	1	116
0.588827372	9.710681915	-0.169811919	0.5888274	9.710682067	-0.169811915	1	14	347	9.73	61647148	61647148	-1	-1	-1	125
0.611032188	9.60506916	-2.578872919	0.611032161	9.60506897	-2.578872965	43	0	364	9.964	61647171	61647171	-15	0	0	-1
0.886017203	13.81351471	-3.195654631	0.886017213	13.81351515	-3.195654678	6	2	367	14.206	61647175	61647175	-13	0	0	-1
1.382446408	21.43598938	1.125746369	1.382446357	21.4359893	1.125746419	4	3	369	21.51	61647178	61647178	3	1	-1	160
1.013614416	15.63197803	-3.044929981	1.013614438	15.63197849	-3.044929948	4	4	371	15.958	61647180	61647180	-11	1	1	161
1.410825491	21.69912148	1.902435541	1.410825542	21.69912197	1.902435553	29	5	372	21.828	61647182	61647182	5	0	0	-1
